"Designator","Footprint","Mid X","Mid Y","Ref X","Ref Y","Pad X","Pad Y","Layer","Rotation","Comment"
"J1","PCC-SMP_K_Thermocouple","17839.606mil","7760.795mil","17839.606mil","8026.543mil","17569.921mil","8026.543mil","T","0.00","Thermocouple A"
"J4","Audio_Jack_2.5mm_Mono","17125.827mil","7594.496mil","17240mil","7563mil","17149.449mil","7464.575mil","T","270.00","Thermistor B"
"J3","Audio_Jack_2.5mm_Mono","17125.827mil","7984.496mil","17240mil","7953mil","17149.449mil","7854.575mil","T","270.00","Thermistor A"
"U2","SOIC8","18710mil","8350.008mil","18710mil","8350.008mil","18635mil","8257.488mil","T","90.00","OPAMP dual"
"U1","SOIC8","17787.793mil","8350.011mil","17787.793mil","8350.011mil","17712.793mil","8257.491mil","T","90.00","OPAMP dual"
"TB2","Terminal_Block_3.5mm_x_12","18900mil","9467.173mil","18900mil","8603mil","18900mil","8709.299mil","T","90.00","SparkIO Terminal Block 2"
"TB1","Terminal_Block_3.5mm_x_12","16970mil","9438.827mil","16970mil","10303mil","16970mil","10196.701mil","T","270.00","SparkIO Terminal Block 1"
"U3","SOT23-3L","18230mil","8353mil","18230mil","8353mil","18267.402mil","8396.307mil","T","270.00","Header 3"
"R19","0603_-_NO_SILK","18340mil","8893mil","18340mil","8893mil","18340mil","8926mil","T","270.00","Resistor"
"R18","0603_-_NO_SILK","18790mil","8173mil","18790mil","8173mil","18823mil","8173mil","T","180.00","Resistor"
"R17","0603_-_NO_SILK","17356.926mil","8236.777mil","17356.926mil","8236.777mil","17323.926mil","8236.777mil","T","360.00","Resistor"
"R4","0603_-_NO_SILK","17356.929mil","8429.675mil","17356.929mil","8429.675mil","17323.929mil","8429.675mil","T","360.00","Resistor"
"R15","0603_-_NO_SILK","18790mil","8533mil","18790mil","8533mil","18823mil","8533mil","T","180.00","Resistor"
"R14","0603_-_NO_SILK","18970mil","8273mil","18970mil","8273mil","18970mil","8306mil","T","270.00","Resistor"
"R9","0603_-_NO_SILK","18550mil","8273mil","18550mil","8273mil","18550mil","8306mil","T","270.00","Resistor"
"R12","0603_-_NO_SILK","18390mil","8273mil","18390mil","8273mil","18390mil","8306mil","T","270.00","Resistor"
"R11","0603_-_NO_SILK","18970mil","8433mil","18970mil","8433mil","18970mil","8400mil","T","90.00","Resistor"
"R10","0603_-_NO_SILK","18650mil","8533mil","18650mil","8533mil","18617mil","8533mil","T","360.00","Resistor"
"R13","0603_-_NO_SILK","18650mil","8173mil","18650mil","8173mil","18617mil","8173mil","T","360.00","Resistor"
"R8","0603_-_NO_SILK","17874.25mil","8173.003mil","17874.25mil","8173.003mil","17907.25mil","8173.003mil","T","180.00","Resistor"
"R7","0603_-_NO_SILK","17874.25mil","8533.003mil","17874.25mil","8533.003mil","17907.25mil","8533.003mil","T","180.00","Resistor"
"R6","0603_-_NO_SILK","18054.25mil","8273.003mil","18054.25mil","8273.003mil","18054.25mil","8306.003mil","T","270.00","Resistor"
